InvoiceNo,InvoiceDate,CustomerID,Country,sum_order,orders,average_order
78547814,"2019-03-25 14:19:00",13452.0,DE,13.98,2,6.99
78556969,"2019-06-16 10:11:00",16257.0,DE,22.98,1,22.98
78561680,"2019-07-28 19:13:00",18268.0,DE,23.98,1,23.98
78542915,"2019-02-01 16:18:00",15940.0,DE,31.96,1,31.96
78569665,"2019-10-05 13:34:00",12789.0,Netherlands,35.97,1,35.97
78553952,"2019-05-20 10:50:00",13391.0,DE,43.96,1,43.96
78559353,"2019-07-07 17:56:00",13302.0,DE,44.95,1,44.95
78536779,"2018-12-02 15:08:00",15823.0,DE,47.99,1,47.99
78544426,"2019-02-18 15:41:00",16765.0,DE,55.96,1,55.96
78563092,"2019-08-11 17:14:00",13307.0,DE,60.76,1,60.76
78541043,"2019-01-13 12:10:00",15510.0,DE,67.96,1,67.96
78544805,"2019-02-23 14:50:00",18068.0,DE,71.94,1,71.94
78548668,"2019-04-01 15:03:00",16162.0,DE,72.96,1,72.96
78556909,"2019-06-15 13:23:00",17536.0,DE,77.92,1,77.92
78560651,"2019-07-20 11:38:00",15802.0,DE,79.99,1,79.99
78572423,"2019-10-24 12:02:00",16742.0,DE,79.99,1,79.99
78566927,"2019-09-15 15:20:00",17846.0,DE,79.99,1,79.99
78576512,"2019-11-15 12:09:00",15524.0,DE,83.96,1,83.96
78541426,"2019-01-18 08:44:00",18233.0,DE,83.96,1,83.96
78547415,"2019-03-23 10:08:00",17102.0,DE,85.12,1,85.12
78548862,"2019-04-04 13:47:00",17956.0,DE,87.48,1,87.48
78536884,"2018-12-03 11:42:00",14589.0,DE,89.97,1,89.97
78563740,"2019-08-19 08:13:00",17747.0,DE,155.76,1,155.76
78536393,"2018-12-01 10:37:00",13747.0,DE,159.84,1,159.84
78555557,"2019-06-05 14:06:00",13682.0,DE,160.90,1,160.90
78541978,"2019-01-24 14:46:00",13551.0,DE,167.88,1,167.88
78536823,"2018-12-02 17:22:00",13011.0,DE,177.87,1,177.87
78570003,"2019-10-07 09:19:00",14792.0,DE,181.99,1,181.99
78554810,"2019-05-26 13:16:00",14816.0,DE,190.32,1,190.32
78550198,"2019-04-15 10:19:00",13120.0,DE,197.88,1,197.88
78546828,"2019-03-17 11:56:00",13185.0,DE,215.88,1,215.88
78542099,"2019-01-25 13:10:00",13703.0,DE,219.90,1,219.90
78540970,"2019-01-12 13:52:00",14185.0,DE,244.85,1,244.85
78561811,"2019-07-29 15:12:00",13106.0,DE,255.06,1,255.06
78574731,"2019-11-06 15:09:00",17831.0,DE,269.16,1,269.16
78545228,"2019-03-01 09:47:00",16078.0,DE,287.84,1,287.84
78539280,"2018-12-16 15:40:00",14373.0,DE,301.21,1,301.21
78564485,"2019-08-25 13:54:00",16429.0,DE,324.98,1,324.98
78569915,"2019-10-06 16:57:00",16454.0,DE,329.01,2,164.51
78577556,"2019-11-20 15:36:00",13832.0,DE,333.60,1,333.60
78568330,"2019-09-26 14:13:00",16468.0,DE,346.99,1,346.99
78536834,"2018-12-02 17:51:00",14576.0,DE,347.88,1,347.88
78571232,"2019-10-14 14:22:00",17986.0,DE,349.90,1,349.90
78539864,"2018-12-23 09:55:00",15562.0,DE,350.61,1,350.61
78578813,"2019-11-25 13:33:00",14946.0,DE,354.58,1,354.58
78569660,"2019-10-05 13:05:00",17382.0,DE,369.70,1,369.70
78537668,"2018-12-08 08:43:00",14821.0,DE,381.32,1,381.32
78538352,"2018-12-10 15:21:00",16565.0,DE,431.54,1,431.54
78577011,"2019-11-17 12:19:00",15657.0,DE,455.76,1,455.76
78537649,"2018-12-07 15:48:00",13807.0,DE,465.22,1,465.22
78567158,"2019-09-16 17:39:00",16878.0,DE,482.98,1,482.98
78568819,"2019-09-29 11:29:00",17427.0,DE,491.66,1,491.66
78536608,"2018-12-02 09:37:00",12855.0,DE,497.70,1,497.70
78544650,"2019-02-22 12:40:00",16349.0,DE,539.77,1,539.77
78545223,"2019-03-01 08:58:00",16462.0,DE,541.60,3,180.53
78558894,"2019-07-04 15:50:00",16344.0,DE,557.82,1,557.82
78552167,"2019-05-06 12:23:00",18227.0,DE,602.78,1,602.78
78544078,"2019-02-15 15:41:00",16073.0,DE,628.32,1,628.32
