InvoiceNo,CustomerID,InvoiceDate,month,weekday,hour,Country,quantity,order_value
78567192,17961.0,"2019-09-19 09:20:00",9,3,9,DE,4,85.72
78551176,,"2019-04-26 17:18:00",4,4,17,DE,4,428.16
78557598,14667.0,"2019-06-21 11:33:00",6,4,11,DE,127,16871.94
78537207,17402.0,"2018-12-05 15:06:00",12,2,15,DE,40,5318.96
78541809,,"2019-01-21 14:58:00",1,0,14,DE,463,36970.30
78556086,,"2019-06-08 15:24:00",6,5,15,DE,35,1253.59
78557480,,"2019-06-20 14:10:00",6,3,14,DE,59,2745.41
78558991,14606.0,"2019-07-05 11:32:00",7,4,11,DE,104,24045.32
78559040,,"2019-07-05 15:33:00",7,4,15,DE,23,1596.94
78559493,,"2019-07-08 13:53:00",7,0,13,DE,86,5901.54
78569699,12723.0,"2019-10-05 15:52:00",10,5,15,France,188,17089.73
78570414,17214.0,"2019-10-10 13:17:00",10,3,13,DE,54,3922.17
78572301,16794.0,"2019-10-23 14:41:00",10,2,14,DE,56,3519.88
78580876,14071.0,"2019-12-06 12:12:00",12,4,12,DE,116,7375.17
78571061,,"2019-10-13 14:33:00",10,6,14,DE,392,31053.70
78571305,,"2019-10-17 09:55:00",10,3,9,DE,367,25764.23
78579512,,"2019-11-29 16:47:00",11,4,16,DE,1345,131530.69
78542998,,"2019-02-02 12:16:00",2,5,12,DE,93,7575.30
78544464,17323.0,"2019-02-20 14:38:00",2,2,14,DE,119,6844.29
78553129,17765.0,"2019-05-13 12:34:00",5,0,12,DE,60,2981.14
78559043,,"2019-07-05 15:35:00",7,4,15,DE,97,6819.12
78559488,,"2019-07-08 13:52:00",7,0,13,DE,111,11503.50
78560292,,"2019-07-18 10:19:00",7,3,10,DE,46,2775.93
78565122,13069.0,"2019-09-01 11:48:00",9,6,11,DE,1686,948168.88
78566123,15039.0,"2019-09-09 11:15:00",9,0,11,DE,136,8353.42
78566518,17779.0,"2019-09-13 11:24:00",9,4,11,DE,102,5704.78
78568710,14649.0,"2019-09-28 15:42:00",9,5,15,DE,315,25381.50
78569219,13558.0,"2019-10-02 13:01:00",10,2,13,DE,126,8720.82
78573894,17812.0,"2019-11-01 13:59:00",11,4,13,DE,17,1000.33
78574965,17964.0,"2019-11-08 10:44:00",11,4,10,DE,106,6453.44
78575856,16386.0,"2019-11-11 12:28:00",11,0,12,DE,198,15241.82
78577507,14710.0,"2019-11-20 12:42:00",11,2,12,DE,132,16818.19
78577535,14071.0,"2019-11-20 14:07:00",11,2,14,DE,261,15739.91
78578332,,"2019-11-24 08:50:00",11,6,8,DE,14,840.31
78578521,17812.0,"2019-11-24 14:06:00",11,6,14,DE,85,4806.44
78578620,17247.0,"2019-11-24 15:21:00",11,6,15,DE,106,8593.79
78579161,17379.0,"2019-11-28 13:56:00",11,3,13,DE,663,66320.84
78579559,16764.0,"2019-11-30 11:30:00",11,5,11,DE,100,13974.09
78580635,14649.0,"2019-12-05 12:30:00",12,3,12,DE,353,32358.77
78580640,16910.0,"2019-12-05 12:51:00",12,3,12,DE,147,22765.75
78580776,14562.0,"2019-12-06 11:05:00",12,4,11,DE,96,9079.21
78569332,12637.0,"2019-10-03 13:46:00",10,3,13,France,156,15335.47
78572055,17346.0,"2019-10-20 12:34:00",10,6,12,DE,69,6442.12
78574574,,"2019-11-04 16:42:00",11,0,16,DE,3,369.88
78574677,16445.0,"2019-11-06 12:32:00",11,2,12,DE,111,6113.39
78575759,,"2019-11-11 10:50:00",11,0,10,France,213,22676.03
78546663,,"2019-03-15 14:36:00",3,4,14,DE,3,1018.36
78544438,,"2019-02-18 17:24:00",2,0,17,DE,1,5.99
78544927,,"2019-02-24 18:02:00",2,6,18,DE,1,5.99
78536945,14083.0,"2018-12-03 12:24:00",12,0,12,DE,179,84289.34
