orders,number_customers,Country,sum_order,average_order
1,1,"Saudi Arabia",7346.60,7346.60
1,1,RSA,26890.56,26890.56
3,3,Bahrain,40273.00,13424.33
1,1,Lebanon,44284.31,44284.31
1,1,Brazil,45180.14,45180.14
4,1,Lithuania,60107.38,15026.84
3,1,"European Community",60183.19,20061.06
2,2,"United Arab Emirates",80162.84,40081.42
2,1,"Czech Republic",88188.02,44094.01
5,2,Malta,129572.27,25914.45
5,4,Greece,135777.61,27155.52
7,1,Iceland,213098.81,30442.69
5,4,Canada,226247.85,45249.57
5,4,USA,268468.95,53693.79
13,5,Unknown,317154.95,24396.53
19,6,Poland,371335.81,19543.99
17,11,Austria,435937.30,25643.37
10,1,"Hong Kong",439443.47,43944.35
8,4,Israel,507067.56,63383.45
18,9,Denmark,658326.80,36573.71
7,1,Singapore,735954.73,105136.39
15,8,Cyprus,854752.34,56983.49
35,14,Italy,961998.14,27485.66
26,9,"Channel Islands",985479.16,37903.04
41,12,Finland,1055097.04,25734.07
56,20,Portugal,1675362.47,29917.19
33,10,Norway,1738513.35,52682.22
98,25,Belgium,2439078.73,24888.56
88,30,Spain,2677248.65,30423.28
50,22,Switzerland,2720085.55,54401.71
19,8,Japan,3045998.84,160315.73
34,8,Sweden,4348121.37,127885.92
56,9,Australia,9599048.81,171411.59
449,94,UK,11066922.40,24647.93
387,88,France,11239725.76,29043.22
288,4,Ireland,15582000.30,54104.17
94,9,Netherlands,21567090.51,229437.13
18718,3921,DE,495864492.94,26491.32
