;title;url;rating;review_count;price
0;Portable Monitor - 15.6-Inch USB-C Portable Display, 1080P Full HD IPS Panel & Type-C HDMI, Eye Care & Stereo Speakers for Laptop Phone PS4 Xbox, Ultra Slim & Light, Case & Screen Protector Included;https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_electronics-intl-ship_sr_pg2_1?ie=UTF8&adId=A02793853EPYYDXO0AE0Y&url=%2FME16Z01%2Fdp%2FB07YTNYT11%2Fref%3Dsr_1_13_sspa%3Fdchild%3D1%26keywords%3Dmonitor%26qid%3D1594132600%26s%3Delectronics%26sr%3D1-13-spons%26psc%3D1&qualifier=1594160447&id=5044327809606559&widgetName=sp_atf_next;4.7 out of 5 stars;231;185.99
1;BenQ IPS Entertainment Monitor with HDMI connectivity HDR Eye-Care Integrated Speakers and Custom Audio Modes;https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_electronics-intl-ship_sr_pg2_1?ie=UTF8&adId=A079381722GETCH590BOE&url=%2FBenQ-EW2780U-27-Inch-Monitor-connectivity%2Fdp%2FB081V1KPSD%2Fref%3Dsr_1_14_sspa%3Fdchild%3D1%26keywords%3Dmonitor%26qid%3D1594132600%26s%3Delectronics%26sr%3D1-14-spons%26psc%3D1&qualifier=1594160447&id=5044327809606559&widgetName=sp_atf_next;2.5 out of 5 stars;5;549.99
2;Samsung LC27F398FWNXZA Samsung C27F398 27 Inch Curved LED Monitor;https://www.amazon.com/Monitor-curvado-Samsung-serie-pulgadas/dp/B01CX26WIG/ref=sr_1_15?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-15;4.5 out of 5 stars;1622;179.99
3;"Samsung 23.5"" FHD Curved LED-Lit FreeSync Monitor(LC24F396FHNXZA)";https://www.amazon.com/Samsung-23-5-Inch-LED-Lit-Monitor-LC24F396FHNXZA/dp/B079K3MXWF/ref=sr_1_16?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-16;4.5 out of 5 stars;675;149.99
4;ViewSonic VX3276-MHD 32 Inch 1080p Frameless Widescreen IPS Monitor with Screen Split Capability HDMI and DisplayPort;https://www.amazon.com/ViewSonic-VX3276-MHD-Frameless-Widescreen-DisplayPort/dp/B0787WGCXT/ref=sr_1_18?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-18;4.5 out of 5 stars;1184;199.99
5;HP 27er 27-Inch Full HD 1080p IPS LED Monitor with Frameless Bezel and VGA & HDMI (T3M88AA);https://www.amazon.com/HP-Monitor-audio-integrado-pulgadas/dp/B01F6V704G/ref=sr_1_19?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-19;4.5 out of 5 stars;2796;216.0
6;ViewSonic VA2246MH-LED 22 Inch Full HD 1080p LED Monitor with HDMI and VGA Inputs for Home and Office,Black;https://www.amazon.com/ViewSonic-VA2246MH-LED-Monitor-Inputs-Office/dp/B072F3DL6P/ref=sr_1_20?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-20;4.4 out of 5 stars;993;89.99
7;"TechOrbits Three Monitor Stand Mount - Triple Computer Screen Desk Mount Arms - Full Motion Swivel Articulating Mechanical Arms with Two USB Ports- Universal Fit for 17"" - 27"" Screens Vesa";https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics-intl-ship_sr_pg2_1?ie=UTF8&adId=A0669127YCIR4AOXWAE7&url=%2FTechOrbits-Soporte-individual-pantalla-ordenador%2Fdp%2FB07JM6DLW4%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dmonitor%26qid%3D1594132600%26s%3Delectronics%26sr%3D1-21-spons%26psc%3D1&qualifier=1594160447&id=5044327809606559&widgetName=sp_mtf;3.8 out of 5 stars;6;139.95
8;Portable Monitor - Upgraded 17.3 Inch 1080P FHD IPS HDR 100% sRGB FreeSync USB-C Gaming Monitor with Type-C Mini HDMI for Xbox PS4 Nintendo Switch Laptop PC Phone Mac Surface, with case VESA Mount;https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics-intl-ship_sr_pg2_1?ie=UTF8&adId=A0138446255TOOTHMOO3J&url=%2FPortable-Monitor-Upgraded-FreeSync-Nintendo%2Fdp%2FB083XKS6NB%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dmonitor%26qid%3D1594132600%26s%3Delectronics%26smid%3DA17ZA0T0Q8GQUW%26sr%3D1-22-spons%26psc%3D1&qualifier=1594160447&id=5044327809606559&widgetName=sp_mtf;4.9 out of 5 stars;48;271.99
9;Sceptre 30-inch Curved Gaming Monitor 21:9 2560x1080 Ultra Wide Ultra Slim HDMI DisplayPort up to 200Hz Build-in Speakers, Metal Black (C305B-200UN);https://www.amazon.com/Sceptre-30-inch-Curved-Gaming-Monitor/dp/B07TXM7K4T/ref=sr_1_24?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-24;4.4 out of 5 stars;1026;278.99
10;"Sceptre E255B-1658A 24.5"" 165Hz 144Hz 1ms AMD FreeSync Gaming LED Monitor 2X HDMI 2.0 1x DisplayPort RTS FPS Build-in Speakers, Machine Black";https://www.amazon.com/Sceptre-E255B-1658A-Gaming-Monitor-DisplayPort/dp/B07KGMQGDT/ref=sr_1_25?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-25;4.4 out of 5 stars;1805;179.99
11;"Samsung 24"" FHD Monitor with Bezel-LESS Design - LS24R350FHNXZA, Dark Blue Gray";https://www.amazon.com/Samsung-Monitor-Bezel-LESS-Design-LS24R350FHNXZA/dp/B07Y2QPG3B/ref=sr_1_26?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-26;4.5 out of 5 stars;52;129.99
12;"Philips 246E9QDSB 24"" Frameless Monitor, Full HD IPS, 129% sRGB, 75Hz, FreeSync, VESA, 4Yr Advance Replacement Warranty";https://www.amazon.com/Philips-246E9QDSB-Frameless-1920x1080-FreeSync/dp/B07CK4W58Y/ref=sr_1_28?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-28;4.4 out of 5 stars;2979;104.99
13;"TechOrbits Dual Monitor Mount Stand - SmartSWIVEL - Dual Computer Screen Desk Mount Arms - Full Motion Swivel Articulating Gas Springs - Universal Fit for 13"" - 30"" Screens Vesa Mount";https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_electronics-intl-ship_sr_pg2_1?ie=UTF8&adId=A0669371D079N7KHSHIM&url=%2FTechOrbits-Dual-Monitor-Mount-Stand%2Fdp%2FB06XWCZF4P%2Fref%3Dsr_1_29_sspa%3Fdchild%3D1%26keywords%3Dmonitor%26qid%3D1594132600%26s%3Delectronics%26sr%3D1-29-spons%26psc%3D1&qualifier=1594160447&id=5044327809606559&widgetName=sp_btf;4.5 out of 5 stars;281;99.95
14;Eyoyo 8 Inch HDMI Monitor 1024x768 Resolution Display Portable 4:3 TFT LCD Mini HD Color Video Screen Support HDMI VGA BNC AV Ypbpr Input for PC CCTV Home Security with Mount;https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_electronics-intl-ship_sr_pg2_1?ie=UTF8&adId=A102457830TNH86J6VDXV&url=%2FEyoyo-Monitor-1024x768-Resolution-Portable%2Fdp%2FB01FHDL1DE%2Fref%3Dsr_1_30_sspa%3Fdchild%3D1%26keywords%3Dmonitor%26qid%3D1594132600%26s%3Delectronics%26sr%3D1-30-spons%26psc%3D1&qualifier=1594160447&id=5044327809606559&widgetName=sp_btf;4.1 out of 5 stars;215;62.99
