;title;url;rating;review_count;price
0;POPTEL P10 Rugged Cell Phones Unlocked, IP68 Waterproof Smartphones with 4G/LTE, Octa Core, 5.5inch 4GB+64GB, Dual Sim Waterproof Camera Rugged Smartphones(Black);https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_electronics-intl-ship_sr_pg1_1?ie=UTF8&adId=A0500270O4U0ARYS12AM&url=%2FUnlocked-Waterproof-Smartphone-5-5inch-Ultra-Thin%2Fdp%2FB07PRCKPDP%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dsmartphones%26qid%3D1594227512%26s%3Delectronics%26sr%3D1-1-spons%26psc%3D1&qualifier=1594227511&id=6427178944085168&widgetName=sp_atf;3.7 out of 5 stars;6;189.99
1;Moto G8 Play | Unlocked | International GSM only | 2/32GB | 13MP Camera | 2019 | Gray;https://www.amazon.com/Motorola-Moto-Play-XT2015-2-32GB/dp/B07ZG6W4S2/ref=sr_1_2?dchild=1&keywords=smartphones&qid=1594227512&s=electronics&sr=1-2;3.9 out of 5 stars;164;130.0
2;Samsung Galaxy A20s A207M/DS, 32GB/3GB RAM Dual SIM 6.5''HD+ Snapdragon 450, Factory Unlocked (International Version) - (Red);https://www.amazon.com/Samsung-A207M-Snapdragon-Unlocked-International/dp/B07ZDH95L4/ref=sr_1_3?dchild=1&keywords=smartphones&qid=1594227512&s=electronics&sr=1-3;4.3 out of 5 stars;802;162.94
3;Moto G Stylus | Unlocked | Made for US by Motorola | 4/128GB | 48MP Camera | 2020 | Indigo;https://www.amazon.com/Stylus-Unlocked-Motorola-Camera-Indigo/dp/B084CVPLLC/ref=sr_1_4?dchild=1&keywords=smartphones&qid=1594227512&s=electronics&sr=1-4;4.4 out of 5 stars;108;299.99
4;"Samsung Galaxy A10 32GB A105M 6.2"" HD+ Infinity-V 4G LTE Factory Unlocked GSM Smartphone - Black";https://www.amazon.com/Samsung-A10-Infinity-V-Unlocked-Smartphone/dp/B07Q84DPZH/ref=sr_1_5?dchild=1&keywords=smartphones&qid=1594227512&s=electronics&sr=1-5;4.2 out of 5 stars;2519;163.99
5;"UMIDIGI A3S Unlocked Smartphone 2020, 5.7"" Double-Sided 2.5D Curved Glass, 16GB Android 10, Dual SIM +Micro-SD Slot(Up to 256GB) 16MP Dual Camera, Global Version-Space Grey";https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics-intl-ship_sr_pg1_1?ie=UTF8&adId=A042064626WVLLBLKTS8O&url=%2FUMIDIGI-A3S-Smartphone-Double-Sided-Version-Space%2Fdp%2FB083DMMM3K%2Fref%3Dsr_1_6_sspa%3Fdchild%3D1%26keywords%3Dsmartphones%26qid%3D1594227512%26s%3Delectronics%26sr%3D1-6-spons%26psc%3D1&qualifier=1594227511&id=6427178944085168&widgetName=sp_mtf;4.2 out of 5 stars;87;99.99
6;Google - Pixel 3a with 64GB Memory Cell Phone (Unlocked) - Just Black - G020G;https://www.amazon.com/Google-Pixel-Memory-Phone-Unlocked/dp/B07R7DY911/ref=sr_1_7?dchild=1&keywords=smartphones&qid=1594227512&s=electronics&sr=1-7;4.3 out of 5 stars;3917;349.98
7;"TCL 10L, Unlocked Android Smartphone with 6.53"" FHD + LCD Display, 48MP Quad Rear Camera System, 64GB+6GB RAM, 4000mAh Battery";https://www.amazon.com/Smartphone-Android-desbloqueado-Pantalla-Sistema/dp/B087LYQ22N/ref=sr_1_8?dchild=1&keywords=smartphones&qid=1594227512&s=electronics&sr=1-8;4.4 out of 5 stars;50;249.99
8;Unlocked Smartphone CUBOT X19 4GB RAM+64GB Cell Phone, 4000mAh, Dual 4G SIM, 5.93 inch FHD Display, Android 9.0 Pie, no Bloatware, GSM, AT&T and T-Mobile, Face ID, Fingerprint, Black;https://www.amazon.com/Smartphone-CUBOT-X19-Mobilephone-Fingerprint/dp/B0834X2743/ref=sr_1_9?dchild=1&keywords=smartphones&qid=1594227512&s=electronics&sr=1-9;4.0 out of 5 stars;84;124.99
9;"Samsung Galaxy A10s A107M - 32GB, 6.2"" HD+ Infinity-V Display, 13MP+2MP Dual Rear +8MP Front Cameras, GSM Unlocked Smartphone - Blue";https://www.amazon.com/Samsung-Galaxy-A10s-A107M-Infinity-V/dp/B07XQHM1CV/ref=sr_1_10?dchild=1&keywords=smartphones&qid=1594227512&s=electronics&sr=1-10;4.1 out of 5 stars;1067;138.0
10;Hot Pepper Ghost [Certified Unlocked Smartphone with 3GB RAM + 32 ROM + microSD Slot] Unlocked for Verizon, AT&T, T-Mobile, Metro, Cricket (US Warranty);https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics-intl-ship_sr_pg1_1?ie=UTF8&adId=A0684929CY5LXYK673KO&url=%2FHot-Pepper-Certified-Unlocked-Smartphone%2Fdp%2FB07ZHNBQWP%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3Dsmartphones%26qid%3D1594227512%26s%3Delectronics%26sr%3D1-11-spons%26psc%3D1&qualifier=1594227511&id=6427178944085168&widgetName=sp_mtf;3.4 out of 5 stars;7;199.0
11;"Xiaomi Redmi Note 8 6.3"" 64GB 4GB RAM (GSM Only, No CDMA) Internationa Version - No Warranty (Neptune Blue)";https://www.amazon.com/Xiaomi-Redmi-Note-Internationa-Version/dp/B07YZLRBFP/ref=sr_1_12?dchild=1&keywords=smartphones&qid=1594227512&s=electronics&sr=1-12;4.6 out of 5 stars;5239;164.8
12;"Moto E5 (2018) 16GB, 2GB 5.7"" Display, 4000 mAh All Day Battery, FM Radio - (GSM+AT&T+Tmobile + Verizon) Factory Unlocked 4G LTE Smartphone - XT1920DL (US Warranty) (Gray)";https://www.amazon.com/Moto-E5-Display-Battery-Radio/dp/B07WSXH2W2/ref=sr_1_13?dchild=1&keywords=smartphones&qid=1594227512&s=electronics&sr=1-13;4.3 out of 5 stars;532;99.99
13;"Huawei Y9 Prime 2019 (128GB, 4GB RAM) 6.59"" Display, 3 AI Cameras, 4000mAh Battery, Dual SIM GSM Factory Unlocked - STK-LX3, US & Global 4G LTE International Model (Emerald Green, 128 GB)";https://www.amazon.com/Display-Cameras-4000mAh-Battery-Unlocked/dp/B07VYPJCRW/ref=sr_1_14?dchild=1&keywords=smartphones&qid=1594227512&s=electronics&sr=1-14;4.4 out of 5 stars;392;210.0
14;"ZTE BLADE Z MAX Z982 (32GB, 2GB RAM) 6.0"" Full HD Display, Dual Rear Camera, 4080 mAh Battery, 4G LTE GSM Unlocked Smartphone w/ US Warranty (Black)";https://www.amazon.com/ZTE-Display-Unlocked-Smartphone-Warranty/dp/B07RH8DZRM/ref=sr_1_15?dchild=1&keywords=smartphones&qid=1594227512&s=electronics&sr=1-15;4.2 out of 5 stars;1475;119.35
15;INEVIFIT EROS Bluetooth Body Fat Scale Smart BMI Highly Accurate Digital Bathroom Body Composition Analyzer with Wireless Smartphone APP 400 lbs 11.8 x 11.8 inch (Black);https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics-intl-ship_sr_pg1_1?ie=UTF8&adId=A0012764HYEKBPDEE3PR&url=%2FINEVIFIT-Bluetooth-Accurate-Composition-Smartphone%2Fdp%2FB07S7FWMC7%2Fref%3Dsr_1_16_sspa%3Fdchild%3D1%26keywords%3Dsmartphones%26qid%3D1594227512%26s%3Delectronics%26sr%3D1-16-spons%26psc%3D1&qualifier=1594227511&id=6427178944085168&widgetName=sp_mtf;4.5 out of 5 stars;147;49.99
16;Samsung Galaxy S20 5G Factory Unlocked New Android Cell Phone US Version | 128GB of Storage | Fingerprint ID and Facial Recognition | Long-Lasting Battery | US Warranty |Cloud Blue;https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_electronics-intl-ship_sr_pg2_1?ie=UTF8&adId=A0871170WSWNYRKLUC6B&url=%2FSM-G981ULBAXAA%2Fdp%2FB082XXKZRC%2Fref%3Dsr_1_13_sspa%3Fdchild%3D1%26keywords%3Dsmartphones%26qid%3D1594219856%26s%3Delectronics%26sr%3D1-13-spons%26psc%3D1&qualifier=1594227512&id=8525497255086872&widgetName=sp_atf_next;4.1 out of 5 stars;425;849.99
17;"BLU G6-5.7"" HD Display GSM Unloked Smartphone, 64GB+3GB RAM -Brown Leather";https://www.amazon.com/BLU-Display-Unloked-Smartphone-Leather/dp/B07ZTVNX3D/ref=sr_1_15?dchild=1&keywords=smartphones&qid=1594219856&s=electronics&sr=1-15;3.9 out of 5 stars;24;99.99
18;"Samsung Galaxy A51 (128GB, 4GB) 6.5"", 48MP Quad Camera, Dual SIM GSM Unlocked A515F/DS- Global 4G LTE International Model (Prism Crush White)";https://www.amazon.com/Samsung-Galaxy-Camera-Unlocked-International/dp/B083NJRP1L/ref=sr_1_16?dchild=1&keywords=smartphones&qid=1594219856&s=electronics&sr=1-16;4.5 out of 5 stars;106;287.99
19;"Xiaomi Redmi Note 8 Pro 64GB, 6GB RAM 6.53"" LTE GSM 64MP Factory Unlocked Smartphone - Global Model (Forest Green)";https://www.amazon.com/Xiaomi-Redmi-Factory-Unlocked-Smartphone/dp/B07Y8Y6HVW/ref=sr_1_17?dchild=1&keywords=smartphones&qid=1594219856&s=electronics&sr=1-17;4.6 out of 5 stars;8431;214.0
