sum_title,product,ASIN,rating,review_count,price
"David Busch's Canon EOS Rebel SL2/200D Guide to Digital SLR Photography (The David Busch Camera Guide Series)",camera,1681983389,4.7,45,27.48
"Canon EF 75-300mm f/4-5.6 III Telephoto Zoom Lens for Canon SLR Cameras",camera,B00004THD0,4.5,1806,199
"Pentax SMCP-FA 35mm f/2.0 AL Lens with Case and Hood",camera,B00005ABC9,4.3,20,322.72
"Nikon AF FX NIKKOR 24mm f/2.8D Fixed Zoom Lens with Auto Focus for Nikon DSLR Cameras - White Box (New)",camera,B00005LE6Z,4,150,391.95
"Nikon AF NIKKOR 1923 35mm f/2D Lens with Auto Focus for Nikon DSLR Cameras,Black",camera,B00005LE72,3.8,186,386.95
"Nikon AF FX NIKKOR 14mm f/2.8D ED Ultra Wide Angle Fixed Zoom Lens with Auto Focus for Nikon DSLR Cameras",camera,B00005LE73,3.7,22,1891.95
"Nikon 85mm f/1.4D AF Nikkor Lens for Nikon Digital SLR Cameras - White Box(Bulk Packaging) (New)",camera,B00005LE76,4.6,89,799.98
"AF Micro-NIKKOR 60mm f/2.8D Lens for Nikon DSLR Cameras",camera,B00005LE77,4.6,139,516.95
"Nikon AF FX DC-NIKKOR 105mm f/2D Telephoto Lens with Auto Focus for Nikon DSLR Cameras",camera,B00005LEOK,4.5,81,1196.95
"Sigma 24mm f/1.8 EX DG Aspherical Macro Large Aperture Wide Angle Lens for Minolta and Sony SLR Cameras",camera,B00005RKSQ,3.4,80,280
"Tamron AF 75-300mm f/4.0-5.6 LD for Pentax Digital SLR Cameras (Model 672DP)",camera,B00005V8SA,3.3,12,139.99
"Celestron 93625 Universal 1.25-inch Camera T-Adapter, Single",camera,B0000665V6,4.3,531,25
"Hosa YMM-261 3.5 mm TRS to Dual 3.5 mm TSF Stereo Breakout Cable",camera,B000068O5H,4.3,545,5.45
"Nikon AF FX DC-NIKKOR 135mm f/2D Fixed Lens with Auto Focus for Nikon DSLR Cameras",camera,B00006I5J4,4.3,72,1391.95
"OP/TECH USA 1501372 Pro Loop Strap for Camera Equipment (Black)",camera,B00007E816,4.5,1391,19.95
"Nikon AF-S DX NIKKOR 12-24mm f/4G IF-ED Zoom Lens with Auto Focus for Nikon DSLR Cameras",camera,B000092M1T,4.4,114,1146.95
"SLIK Master Classic Tripod with 2-Way, Pan-and-Tilt Head, for Mirrorless/DSLR Sony Nikon Canon Fuji Cameras and More - Black (616-725)",camera,B00009R6PW,5,5,181.13
"SLIK Pro 400DX Tripod Legs - with 3-Way Pan/Tilt Quick Release Head, for Mirrorless/DSLR Sony Nikon Canon Fuji Cameras and More - Black (615-400)",camera,B00009R6RB,4.7,18,129.84
"Canon EF 17-40mm f/4L USM Ultra Wide Angle Zoom Lens for Canon SLR Cameras, 17-40mm Lens Only",camera,B00009R6WO,4.7,545,649
"Domke F-2 original shoulder bag 700-02S (Sand) for Canon, Nikon, Sony, Leica, Fujifilm & Olympus DSLR or Mirrorless cameras with space for multiple lenses up to 300mm and accessories",camera,B00009R884,4,100,161.99
"Domke F-34M 15-Inch Protective Wrap -Red",camera,B00009R88S,4.4,51,14.53
"Domke 700-J2B Domke J-Series Camera Bag (Black)",camera,B00009R8BO,4.4,8,169.99
"Nikon AI-S FX NIKKOR 50mm f/1.2 Fixed Zoom Manual Focus Lens for Nikon DSLR Cameras",camera,B00009R95Y,4.2,82,699.95
"Sunpak 620-020 Tripod,Black",camera,B00009UT28,4.3,381,15.87
"Stroboframe Camera Flip Flash Bracket",camera,B00009UTLU,4,91,19.5
